"","data_dte","Year","Month","usg_apt_id","usg_apt","usg_wac","fg_apt_id","fg_apt","fg_wac","airlineid","carrier","carriergroup","type","Scheduled","Charter","Total"
"4656","01/01/2020",2020,1,12478,"JFK",22,12073,"HAV",219,20409,"B6",1,"Passengers",5281,0,5281
"4657","02/01/2020",2020,2,11298,"DFW",74,12051,"GYE",337,19805,"AA",1,"Passengers",5285,0,5285
"4658","03/01/2020",2020,3,10397,"ATL",34,12972,"LHR",493,19540,"BA",0,"Passengers",5289,0,5289
"4659","02/01/2020",2020,2,13303,"MIA",33,15192,"TGU",131,19805,"AA",1,"Passengers",5289,0,5289
"4660","02/01/2020",2020,2,12892,"LAX",91,14228,"PPT",823,19532,"AF",0,"Passengers",5289,0,5289
"4661","01/01/2020",2020,1,12266,"IAH",74,10210,"AGU",148,20366,"EV",1,"Passengers",5290,0,5290
"4662","02/01/2020",2020,2,12266,"IAH",74,11874,"GDL",148,21351,"Y4",0,"Passengers",5294,0,5294
"4663","02/01/2020",2020,2,15304,"TPA",33,14286,"PTY",162,19770,"CM",0,"Passengers",5294,0,5294
"4664","03/01/2020",2020,3,11618,"EWR",22,13165,"MAN",493,19977,"UA",1,"Passengers",5295,0,5295
"4665","02/01/2020",2020,2,12266,"IAH",74,14677,"SAL",118,19574,"TA",0,"Passengers",5295,0,5295
"4666","03/01/2020",2020,3,13930,"ORD",41,10162,"ADD",522,20153,"ET",0,"Passengers",5295,0,5295
"4667","03/01/2020",2020,3,13930,"ORD",41,11874,"GDL",148,21351,"Y4",0,"Passengers",5296,0,5296
"4668","03/01/2020",2020,3,11618,"EWR",22,10920,"CDG",427,19977,"UA",1,"Passengers",5298,0,5298
"4669","02/01/2020",2020,2,12889,"LAS",85,11760,"FRA",429,20120,"DE",0,"Passengers",5298,0,5298
"4670","02/01/2020",2020,2,12173,"HNL",2,16271,"YYZ",936,19531,"AC",0,"Passengers",5301,0,5301
"4671","03/01/2020",2020,3,13303,"MIA",33,11950,"GND",273,19805,"AA",1,"Passengers",5304,0,5304
"4672","02/01/2020",2020,2,14635,"RSW",33,16217,"YUL",941,21610,"RV",0,"Passengers",5304,0,5304
"4673","03/01/2020",2020,3,12173,"HNL",2,13744,"NRT",736,19550,"KE",0,"Passengers",5306,0,5306
"4674","03/01/2020",2020,3,13303,"MIA",33,15013,"STI",224,19805,"AA",1,"Passengers",5309,0,5309
"4675","01/01/2020",2020,1,13303,"MIA",33,11118,"CPH",419,19571,"SK",0,"Passengers",5310,0,5310
"4676","02/01/2020",2020,2,14107,"PHX",81,16257,"YYC",916,19531,"AC",0,"Passengers",5312,44,5356
"4677","02/01/2020",2020,2,14771,"SFO",91,13243,"MEL",802,19566,"QF",0,"Passengers",5313,0,5313
"4678","03/01/2020",2020,3,12478,"JFK",22,13180,"MBJ",243,19790,"DL",1,"Passengers",5315,0,5315
"4679","03/01/2020",2020,3,12478,"JFK",22,11915,"GIG",316,19805,"AA",1,"Passengers",5323,0,5323
"4680","03/01/2020",2020,3,12478,"JFK",22,14293,"PUJ",224,19790,"DL",1,"Passengers",5325,0,5325
"4681","01/01/2020",2020,1,13930,"ORD",41,13605,"NAS",204,19977,"UA",1,"Passengers",5330,0,5330
"4682","03/01/2020",2020,3,13930,"ORD",41,10287,"AMM",639,19568,"RJ",0,"Passengers",5331,0,5331
"4683","02/01/2020",2020,2,12264,"IAD",32,10292,"AMS",461,19977,"UA",1,"Passengers",5331,0,5331
"4684","01/01/2020",2020,1,13487,"MSP",63,12990,"LIR",110,19790,"DL",1,"Passengers",5341,0,5341
"4685","03/01/2020",2020,3,12264,"IAD",32,13518,"MUC",429,19977,"UA",1,"Passengers",5345,0,5345
